Survey Years,Sex,Age Group,Race and Hispanic Origin,Nutrient,Mean,Standard Error,Lower 95% CI Limit,Upper 95% CI Limit,Note1,Note2,Notea,Noteb
2017-2018,All,60-69,All,Iron,13.4,0.3,12.9,14.0,,,,
2017-2018,All,70 and over,All,Iron,14.0,0.5,12.9,15.0,,,,
2017-2018,Female,2-19,All,Iron,12.2,0.4,13.0,11.4,,,,
2017-2018,Female,2-5,All,Iron,10.0,0.4,9.2,10.8,,,,
2017-2018,Female,6-11,All,Iron,13.4,0.4,12.7,14.2,,,,
2017-2018,Female,12-19,All,Iron,12.2,0.4,11.4,13.0,,,,
2017-2018,Female,20 and over,All,Iron,12.3,0.3,12.9,11.8,,,,
2017-2018,Female,20-29,All,Iron,12.6,0.5,11.6,13.6,,,,
2017-2018,Female,30-39,All,Iron,12.5,0.2,12.1,12.9,,,,
2017-2018,Female,40-49,All,Iron,12.6,0.7,11.3,13.9,,,,
2017-2018,Female,50-59,All,Iron,12.1,0.7,10.7,13.6,,,,
2017-2018,Female,60-69,All,Iron,11.6,0.3,11.0,12.2,,,,
2017-2018,Female,70 and over,All,Iron,12.8,0.6,11.5,14.0,,,,
2017-2018,Male,2-19,All,Iron,15.5,0.5,16.4,14.5,,,,
2017-2018,Male,2-5,All,Iron,10.9,0.4,10.0,11.7,,,,
2017-2018,Male,6-11,All,Iron,14.8,0.6,13.5,16.0,,,,
2017-2018,Male,12-19,All,Iron,15.5,0.5,14.5,16.4,,,,
2017-2018,Male,20 and over,All,Iron,16.2,0.2,16.7,15.8,,,,
2017-2018,Male,20-29,All,Iron,15.8,0.6,14.6,17.1,,,,
2017-2018,Male,30-39,All,Iron,16.6,0.6,15.4,17.8,,,,
2017-2018,Male,40-49,All,Iron,16.9,0.8,15.2,18.5,,,,
2017-2018,Male,50-59,All,Iron,16.7,0.6,15.5,18.0,,,,
2017-2018,Male,60-69,All,Iron,15.6,0.5,14.6,16.6,,,,
2017-2018,Male,70 and over,All,Iron,15.4,0.6,14.2,16.7,,,,
2017-2018,All,2-19,All,Potassium,"2,105.5",32.7,"2,170.1","2,040.9",,,,
2017-2018,All,2-19,Non-Hispanic White,Potassium,"2,184.1",105.1,"2,391.8","1,976.5",,,,
2017-2018,All,2-19,Non-Hispanic Black,Potassium,"2,079.6",115.4,"2,307.6","1,851.5",,,,
2017-2018,All,2-19,Non-Hispanic Asian,Potassium,"2,231.7",99.2,"2,427.7","2,035.6",,,,
2017-2018,All,2-19,Hispanic,Potassium,"2,146.1",86.1,"2,316.3","1,975.9",,,,
2017-2018,All,2-19,Mexican American,Potassium,"2,233.1",68.0,"2,367.4","2,098.8",,,,
2017-2018,All,2-5,All,Potassium,"1,997.1",36.5,"1,925.0","2,069.1",,,,
2017-2018,All,6-11,All,Potassium,"2,088.9",43.3,"2,003.3","2,174.4",,,,
2017-2018,All,12-19,All,Potassium,"2,168.9",59.9,"2,050.6","2,287.3",,,,
2017-2018,All,20 and over,All,Potassium,"2,618.2",37.5,"2,692.3","2,544.1",,,,
2017-2018,All,20 and over,Non-Hispanic White,Potassium,"2,638.5",50.5,"2,738.3","2,538.8",,,,
2017-2018,All,20 and over,Non-Hispanic Black,Potassium,"2,277.7",45.0,"2,366.5","2,188.8",,,,
2017-2018,All,20 and over,Non-Hispanic Asian,Potassium,"2,694.6",80.5,"2,853.6","2,535.5",,,,
2017-2018,All,20 and over,Hispanic,Potassium,"2,706.3",75.7,"2,855.8","2,556.7",,,,
2017-2018,All,20 and over,Mexican American,Potassium,"2,662.5",78.4,"2,817.3","2,507.7",,,,
2017-2018,All,20-29,All,Potassium,"2,477.1",69.9,"2,339.1","2,615.1",,,,
2017-2018,All,30-39,All,Potassium,"2,654.1",58.8,"2,537.9","2,770.2",,,,
2017-2018,All,40-49,All,Potassium,"2,671.4",79.1,"2,515.2","2,827.6",,,,
2017-2018,All,50-59,All,Potassium,"2,678.9",92.7,"2,495.9","2,862.0",,,,
2017-2018,All,60-69,All,Potassium,"2,617.0",76.0,"2,466.9","2,767.2",,,,
2017-2018,All,70 and over,All,Potassium,"2,621.7",63.2,"2,496.9","2,746.6",,,,
2017-2018,Female,2-19,All,Potassium,"1,944.4",33.9,"2,011.3","1,877.4",,,,
2017-2018,Female,2-5,All,Potassium,"1,901.7",61.9,"1,779.5","2,024.0",,,,
2017-2018,Female,6-11,All,Potassium,"2,051.2",64.8,"1,923.1","2,179.3",,,,
2017-2018,Female,12-19,All,Potassium,"1,884.5",59.9,"1,766.2","2,002.9",,,,
2017-2018,Female,20 and over,All,Potassium,"2,324.3",52.8,"2,428.7","2,219.9",,,,
2017-2018,Female,20-29,All,Potassium,"2,308.7",92.1,"2,126.6","2,490.7",,,,
2017-2018,Female,30-39,All,Potassium,"2,309.6",87.1,"2,137.5","2,481.7",,,,
2017-2018,Female,40-49,All,Potassium,"2,287.6",79.2,"2,131.1","2,444.0",,,,
2017-2018,Female,50-59,All,Potassium,"2,345.9",120.4,"2,108.1","2,583.8",,,,
2017-2018,Female,60-69,All,Potassium,"2,364.3",87.6,"2,191.2","2,537.4",,,,
2017-2018,Female,70 and over,All,Potassium,"2,328.6",69.6,"2,191.0","2,466.1",,,,
2017-2018,Male,2-19,All,Potassium,"2,259.1",49.8,"2,357.5","2,160.6",,,,
2017-2018,Male,2-5,All,Potassium,"2,089.4",81.8,"1,927.8","2,251.0",,,,
2017-2018,Male,6-11,All,Potassium,"2,125.5",56.3,"2,014.3","2,236.7",,,,
2017-2018,Male,12-19,All,Potassium,"2,434.2",86.1,"2,264.1","2,604.3",,,,
2017-2018,Male,20 and over,All,Potassium,"2,936.5",37.3,"3,010.2","2,862.9",,,,
2017-2018,Male,20-29,All,Potassium,"2,643.3",116.1,"2,414.0","2,872.6",,,,
2017-2018,Male,30-39,All,Potassium,"3,041.7",82.5,"2,878.9","3,204.6",,,,
2017-2018,Male,40-49,All,Potassium,"3,052.6",141.8,"2,772.4","3,332.8",,,,
2017-2018,Male,50-59,All,Potassium,"3,033.6",79.9,"2,875.7","3,191.5",,,,
2017-2018,Male,60-69,All,Potassium,"2,910.5",90.7,"2,731.3","3,089.8",,,,
2017-2018,Male,70 and over,All,Potassium,"2,980.6",112.0,"2,759.4","3,201.9",,,,
2017-2018,All,2-19,All,Saturated Fat,27.5,0.4,26.8,28.3,,,,
2017-2018,All,2-19,Non-Hispanic White,Saturated Fat,28.3,0.4,27.5,29.1,,,,
2017-2018,All,2-19,Non-Hispanic Black,Saturated Fat,28.4,1.6,25.1,31.6,,,,
2017-2018,All,2-19,Non-Hispanic Asian,Saturated Fat,25.7,1.8,22.3,29.2,,,,
2017-2018,All,2-19,Hispanic,Saturated Fat,25.2,1.0,23.3,27.1,,,,
2017-2018,All,2-19,Mexican American,Saturated Fat,26.2,1.2,23.9,28.6,,,,
2017-2018,All,2-5,All,Saturated Fat,20.5,0.5,19.5,21.5,,,,
2017-2018,All,6-11,All,Saturated Fat,26.9,0.7,25.4,28.3,,,,
2017-2018,All,12-19,All,Saturated Fat,27.5,0.4,26.8,28.3,,,,
2017-2018,All,20 and over,All,Saturated Fat,28.7,0.3,28.0,29.3,,,,
2017-2018,All,20 and over,Non-Hispanic White,Saturated Fat,30.0,0.5,29.1,31.0,,,,
2017-2018,All,20 and over,Non-Hispanic Black,Saturated Fat,27.0,0.6,25.9,28.1,,,,
2017-2018,All,20 and over,Non-Hispanic Asian,Saturated Fat,22.0,0.6,20.7,23.2,,,,
2017-2018,All,20 and over,Hispanic,Saturated Fat,26.8,0.8,25.2,28.3,,,,
2017-2018,All,20 and over,Mexican American,Saturated Fat,27.3,0.7,25.9,28.7,,,,
2017-2018,All,20-29,All,Saturated Fat,29.5,0.8,28.0,31.0,,,,
2017-2018,All,30-39,All,Saturated Fat,29.4,0.8,27.7,31.0,,,,
2017-2018,All,40-49,All,Saturated Fat,30.1,1.1,27.9,32.3,,,,
2017-2018,All,50-59,All,Saturated Fat,28.3,0.7,26.8,29.7,,,,
2017-2018,All,60-69,All,Saturated Fat,28.8,1.2,26.5,31.1,,,,
2017-2018,All,70 and over,All,Saturated Fat,25.7,0.8,24.2,27.2,,,,
2017-2018,Female,2-19,All,Saturated Fat,23.9,0.8,22.2,25.5,,,,
2017-2018,Female,2-5,All,Saturated Fat,18.5,0.8,16.8,20.1,,,,
2017-2018,Female,6-11,All,Saturated Fat,25.7,0.6,24.4,26.9,,,,
2017-2018,Female,12-19,All,Saturated Fat,23.9,0.8,22.2,25.5,,,,
2017-2018,Female,20 and over,All,Saturated Fat,24.7,0.5,23.8,25.7,,,,
2017-2018,Female,20-29,All,Saturated Fat,27.5,0.7,26.2,28.8,,,,
2017-2018,Female,30-39,All,Saturated Fat,25.0,0.9,23.2,26.7,,,,
2017-2018,Female,40-49,All,Saturated Fat,26.0,1.6,22.9,29.1,,,,
2017-2018,Female,50-59,All,Saturated Fat,24.1,1.3,21.5,26.6,,,,
2017-2018,Female,60-69,All,Saturated Fat,23.4,1.3,20.7,26.1,,,,
2017-2018,Female,70 and over,All,Saturated Fat,22.0,0.8,20.4,23.5,,,,
2017-2018,Male,2-19,All,Saturated Fat,31.0,0.7,29.6,32.3,,,,
2017-2018,Male,2-5,All,Saturated Fat,22.5,0.9,20.7,24.2,,,,
2017-2018,Male,6-11,All,Saturated Fat,28.1,1.0,26.0,30.1,,,,
2017-2018,Male,12-19,All,Saturated Fat,31.0,0.7,29.6,32.3,,,,
2017-2018,Male,20 and over,All,Saturated Fat,33.0,0.4,32.2,33.8,,,,
2017-2018,Male,20-29,All,Saturated Fat,31.4,1.2,29.1,33.8,,,,
2017-2018,Male,30-39,All,Saturated Fat,34.3,1.5,31.3,37.3,,,,
2017-2018,Male,40-49,All,Saturated Fat,34.1,1.6,31.0,37.3,,,,
2017-2018,Male,50-59,All,Saturated Fat,32.8,1.2,30.4,35.1,,,,
2017-2018,Male,60-69,All,Saturated Fat,35.0,1.5,32.0,38.0,,,,
2017-2018,Male,70 and over,All,Saturated Fat,30.3,1.3,27.7,32.8,,,,
2017-2018,All,2-19,All,Sodium,"3,320.1",81.3,"3,159.4","3,480.8",,,,
2017-2018,All,2-19,Non-Hispanic White,Sodium,"3,368.4",145.7,"3,080.7","3,656.2",,,,
2017-2018,All,2-19,Non-Hispanic Black,Sodium,"3,344.4",186.5,"2,976.0","3,712.9",,,,
2017-2018,All,2-19,Non-Hispanic Asian,Sodium,"3,379.7",188.2,"3,008.0","3,751.4",,,,
2017-2018,All,2-19,Hispanic,Sodium,"3,149.9",92.3,"2,967.6","3,332.2",,,,
2017-2018,All,2-19,Mexican American,Sodium,"3,309.0",91.6,"3,128.0","3,489.9",,,,
2017-2018,All,2-5,All,Sodium,"2,170.9",58.3,"2,055.8","2,286.1",,,,
2017-2018,All,6-11,All,Sodium,"2,899.3",86.0,"2,729.5","3,069.2",,,,
2017-2018,All,12-19,All,Sodium,"3,320.1",81.3,"3,159.4","3,480.8",,,,
2017-2018,All,20 and over,All,Sodium,"3,531.0",38.5,"3,454.9","3,607.2",,,,
2017-2018,All,20 and over,Non-Hispanic White,Sodium,"3,526.2",62.2,"3,403.4","3,649.1",,,,
2017-2018,All,20 and over,Non-Hispanic Black,Sodium,"3,395.6",55.5,"3,286.0","3,505.2",,,,
2017-2018,All,20 and over,Non-Hispanic Asian,Sodium,"3,570.6",110.3,"3,352.8","3,788.5",,,,
2017-2018,All,20 and over,Hispanic,Sodium,"3,603.2",88.2,"3,429.1","3,777.4",,,,
2017-2018,All,20 and over,Mexican American,Sodium,"3,678.3",84.2,"3,512.0","3,844.6",,,,
2017-2018,All,20-29,All,Sodium,"3,775.2",94.6,"3,588.2","3,962.2",,,,
2017-2018,All,30-39,All,Sodium,"3,741.1",74.3,"3,594.3","3,887.9",,,,
2017-2018,All,40-49,All,Sodium,"3,617.6",120.2,"3,380.1","3,855.1",,,,
2017-2018,All,50-59,All,Sodium,"3,492.3",122.2,"3,250.8","3,733.8",,,,
2017-2018,All,60-69,All,Sodium,"3,390.2",86.3,"3,219.8","3,560.7",,,,
2017-2018,All,70 and over,All,Sodium,"3,050.5",54.3,"2,943.3","3,157.8",,,,
2017-2018,Female,2-19,All,Sodium,"2,872.7",112.0,"2,651.4","3,094.0",,,,
2017-2018,Female,2-5,All,Sodium,"1,994.0",56.6,"1,882.3","2,105.7",,,,
2017-2018,Female,6-11,All,Sodium,"2,742.0",99.6,"2,545.3","2,938.8",,,,
2017-2018,Female,12-19,All,Sodium,"2,872.7",112.0,"2,651.4","3,094.0",,,,
2017-2018,Female,20 and over,All,Sodium,"2,986.6",46.2,"2,895.3","3,077.8",,,,
2017-2018,Female,20-29,All,Sodium,"3,325.7",77.1,"3,173.4","3,478.0",,,,
2017-2018,Female,30-39,All,Sodium,"3,149.5",80.9,"2,989.6","3,309.4",,,,
2017-2018,Female,40-49,All,Sodium,"2,983.9",123.9,"2,739.2","3,228.6",,,,
2017-2018,Female,50-59,All,Sodium,"2,843.3",156.7,"2,533.8","3,152.8",,,,
2017-2018,Female,60-69,All,Sodium,"2,838.1",86.6,"2,667.0","3,009.2",,,,
2017-2018,Female,70 and over,All,Sodium,"2,723.4",84.7,"2,556.1","2,890.6",,,,
2017-2018,Male,2-19,All,Sodium,"3,737.4",101.0,"3,537.8","3,937.0",,,,
2017-2018,Male,2-5,All,Sodium,"2,342.2",93.5,"2,157.6","2,526.9",,,,
2017-2018,Male,6-11,All,Sodium,"3,052.1",99.9,"2,854.7","3,249.5",,,,
2017-2018,Male,12-19,All,Sodium,"3,737.4",101.0,"3,537.8","3,937.0",,,,
2017-2018,Male,20 and over,All,Sodium,"4,120.6",57.1,"4,007.9","4,233.3",,,,
2017-2018,Male,20-29,All,Sodium,"4,218.6",185.8,"3,851.6","4,585.6",,,,
2017-2018,Male,30-39,All,Sodium,"4,406.9",129.2,"4,151.7","4,662.1",,,,
2017-2018,Male,40-49,All,Sodium,"4,246.9",182.7,"3,885.9","4,607.9",,,,
2017-2018,Male,50-59,All,Sodium,"4,183.6",167.6,"3,852.5","4,514.7",,,,
2017-2018,Male,60-69,All,Sodium,"4,031.4",135.6,"3,763.5","4,299.4",,,,
2017-2018,Male,70 and over,All,Sodium,"3,451.0",81.2,"3,290.5","3,611.4",,,,
2017-2018,All,2-19,All,Vitamin D,4.2,0.2,3.7,4.7,,,,
2017-2018,All,2-19,Non-Hispanic White,Vitamin D,4.2,0.4,3.5,4.8,,,,
2017-2018,All,2-19,Non-Hispanic Black,Vitamin D,3.9,0.3,3.2,4.5,,,,
2017-2018,All,2-19,Non-Hispanic Asian,Vitamin D,4.6,0.6,3.5,5.6,,,,
2017-2018,All,2-19,Hispanic,Vitamin D,4.5,0.4,3.7,5.3,,,,
2017-2018,All,2-19,Mexican American,Vitamin D,4.8,0.4,3.9,5.7,,,,
2017-2018,All,2-5,All,Vitamin D,5.3,0.2,4.9,5.7,,,,
2017-2018,All,6-11,All,Vitamin D,5.0,0.2,4.7,5.3,,,,
2017-2018,All,12-19,All,Vitamin D,4.2,0.2,3.7,4.7,,,,
2017-2018,All,20 and over,All,Vitamin D,4.2,0.1,3.9,4.5,,,,
2017-2018,All,20 and over,Non-Hispanic White,Vitamin D,4.2,0.2,3.8,4.6,,,,
2017-2018,All,20 and over,Non-Hispanic Black,Vitamin D,3.7,0.2,3.4,4.1,,,,
2017-2018,All,20 and over,Non-Hispanic Asian,Vitamin D,4.9,0.4,4.2,5.7,,,,
2017-2018,All,20 and over,Hispanic,Vitamin D,4.3,0.2,3.8,4.8,,,,
2017-2018,All,20 and over,Mexican American,Vitamin D,4.3,0.2,3.9,4.8,,,,
2017-2018,All,20-29,All,Vitamin D,4.3,0.3,3.8,4.8,,,,
2017-2018,All,30-39,All,Vitamin D,3.8,0.3,3.3,4.3,,,,
2017-2018,All,40-49,All,Vitamin D,4.1,0.3,3.5,4.6,,,,
2017-2018,All,50-59,All,Vitamin D,4.0,0.3,3.4,4.5,,,,
2017-2018,All,60-69,All,Vitamin D,4.2,0.4,3.5,4.9,,,,
2017-2018,All,70 and over,All,Vitamin D,5.1,0.5,4.1,6.2,,,,
2017-2018,Female,2-19,All,Vitamin D,3.3,0.2,2.8,3.8,,,,
2017-2018,Female,2-5,All,Vitamin D,5.1,0.3,4.5,5.7,,,,
2017-2018,Female,6-11,All,Vitamin D,4.7,0.2,4.3,5.1,,,,
2017-2018,Female,12-19,All,Vitamin D,3.3,0.2,2.8,3.8,,,,
2017-2018,Female,20 and over,All,Vitamin D,3.7,0.2,3.4,4.1,,,,
2017-2018,Female,20-29,All,Vitamin D,3.8,0.3,3.2,4.3,,,,
2017-2018,Female,30-39,All,Vitamin D,3.3,0.3,2.8,3.9,,,,
2017-2018,Female,40-49,All,Vitamin D,3.8,0.3,3.3,4.4,,,,
2017-2018,Female,50-59,All,Vitamin D,3.6,0.4,2.9,4.3,,,,
2017-2018,Female,60-69,All,Vitamin D,3.6,0.4,2.9,4.4,,,,
2017-2018,Female,70 and over,All,Vitamin D,4.2,0.3,3.6,4.8,,,,
2017-2018,Male,2-19,All,Vitamin D,5.0,0.3,4.5,5.6,,,,
2017-2018,Male,2-5,All,Vitamin D,5.5,0.2,5.1,6.0,,,,
2017-2018,Male,6-11,All,Vitamin D,5.3,0.3,4.8,5.8,,,,
2017-2018,Male,12-19,All,Vitamin D,5.0,0.3,4.5,5.6,,,,
2007-2008,All,2 and over,All,Sodium,"3,329.6",52.1,"3,226.7","3,432.5",,,,
2007-2008,Male,2 and over,All,Sodium,"3,851.4",72.0,"3,709.3","3,993.5",,,,
2017-2018,Male,20 and over,All,Vitamin D,4.8,0.2,4.4,5.1,,,,
2017-2018,Male,20-29,All,Vitamin D,4.8,0.5,3.8,5.7,,,,
2017-2018,Male,30-39,All,Vitamin D,4.4,0.4,3.6,5.1,,,,
2017-2018,Male,40-49,All,Vitamin D,4.3,0.4,3.5,5.1,,,,
2017-2018,Male,50-59,All,Vitamin D,4.3,0.3,3.7,4.9,,,,
2017-2018,Male,60-69,All,Vitamin D,4.9,0.5,4.0,5.8,,,,
2017-2018,Male,70 and over,All,Vitamin D,6.2,1.0,4.2,8.3,,,,
1999-2000,All,2 and over,All,Calcium,855.8,14.3,827.6,884.1,,,,
1999-2000,Male,2 and over,All,Calcium,961.0,14.1,933.2,988.9,,,,
1999-2000,Female,2 and over,All,Calcium,755.7,15.6,725.0,786.5,,,,
2001-2002,All,2 and over,All,Calcium,900.4,15.8,869.2,931.6,,,,
2001-2002,Male,2 and over,All,Calcium,"1,024.9",22.9,979.7,"1,070.0",,,,
2001-2002,Female,2 and over,All,Calcium,782.1,13.7,755.0,809.3,,,,
2003-2004,All,2 and over,All,Calcium,917.8,16.6,884.9,950.6,,,,
2003-2004,Male,2 and over,All,Calcium,"1,029.2",20.1,989.5,"1,068.8",,,,
2003-2004,Female,2 and over,All,Calcium,810.8,16.8,777.6,844.0,,,,
2005-2006,All,2 and over,All,Calcium,969.6,18.9,932.3,"1,007.0",,,,
2005-2006,Male,2 and over,All,Calcium,"1,080.9",20.1,"1,041.1","1,120.6",,,,
2005-2006,Female,2 and over,All,Calcium,863.7,20.6,823.0,904.5,,,,
2007-2008,All,2 and over,All,Calcium,945.9,20.2,906.0,985.9,,,,
2007-2008,Male,2 and over,All,Calcium,"1,052.0",22.1,"1,008.4","1,095.6",,,,
2007-2008,Female,2 and over,All,Calcium,848.4,22.9,803.1,893.6,,,,
2009-2010,All,2 and over,All,Calcium,"1,028.6",7.1,"1,014.6","1,042.7",,,,
2009-2010,Male,2 and over,All,Calcium,"1,150.3",11.9,"1,126.9","1,173.8",,,,
2009-2010,Female,2 and over,All,Calcium,913.0,7.9,897.4,928.6,,,,
2011-2012,All,2 and over,All,Calcium,"1,012.2",13.8,985.0,"1,039.4",,,,
2011-2012,Male,2 and over,All,Calcium,"1,137.1",21.2,"1,095.2","1,179.0",,,,
2011-2012,Female,2 and over,All,Calcium,890.5,12.9,865.0,916.0,,,,
2013-2014,All,2 and over,All,Calcium,978.4,11.2,956.3,"1,000.5",,,,
2013-2014,Male,2 and over,All,Calcium,"1,098.0",13.8,"1,070.7","1,125.2",,,,
2013-2014,Female,2 and over,All,Calcium,862.6,10.3,842.3,882.9,,,,
2015-2016,All,2 and over,All,Calcium,956.4,19.1,918.8,994.1,,,,
2015-2016,Male,2 and over,All,Calcium,"1,062.2",19.9,"1,022.8","1,101.6",,,,
2015-2016,Female,2 and over,All,Calcium,856.0,18.4,819.7,892.3,,,,
2017-2018,All,2 and over,All,Calcium,967.8,13.1,942.0,993.6,,,,
2017-2018,Male,2 and over,All,Calcium,"1,078.4",16.9,"1,045.1","1,111.8",,,,
2017-2018,Female,2 and over,All,Calcium,862.5,15.2,832.4,892.6,,,,
1999-2000,All,2 and over,All,Dietary Fiber,14.8,0.4,14.1,15.6,,,,
1999-2000,Male,2 and over,All,Dietary Fiber,16.5,0.4,15.7,17.3,,,,
1999-2000,Female,2 and over,All,Dietary Fiber,13.3,0.5,12.3,14.2,,,,
2001-2002,All,2 and over,All,Dietary Fiber,15.3,0.3,14.6,15.9,,,,
2001-2002,Male,2 and over,All,Dietary Fiber,16.9,0.5,16.0,17.8,,,,
2001-2002,Female,2 and over,All,Dietary Fiber,13.7,0.2,13.2,14.2,,,,
2003-2004,All,2 and over,All,Dietary Fiber,14.8,0.3,14.2,15.5,,,,
2003-2004,Male,2 and over,All,Dietary Fiber,16.4,0.3,15.8,17.1,,,,
2003-2004,Female,2 and over,All,Dietary Fiber,13.3,0.4,12.6,14.0,,,,
2005-2006,All,2 and over,All,Dietary Fiber,15.1,0.3,14.6,15.6,,,,
2007-2008,Female,2 and over,All,Dietary Fiber,13.8,0.4,12.9,14.6,,,,
2009-2010,All,2 and over,All,Dietary Fiber,16.2,0.2,15.8,16.6,,,,
2009-2010,Male,2 and over,All,Dietary Fiber,17.6,0.3,17.0,18.2,,,,
2009-2010,Female,2 and over,All,Dietary Fiber,14.9,0.2,14.6,15.3,,,,
2011-2012,All,2 and over,All,Dietary Fiber,17.2,0.3,16.6,17.8,,,,
2011-2012,Male,2 and over,All,Dietary Fiber,19.1,0.3,18.5,19.8,,,,
2011-2012,Female,2 and over,All,Dietary Fiber,15.3,0.3,14.8,15.9,,,,
2013-2014,All,2 and over,All,Dietary Fiber,16.3,0.2,15.9,16.7,,,,
2013-2014,Male,2 and over,All,Dietary Fiber,17.9,0.3,17.4,18.4,,,,
2013-2014,Female,2 and over,All,Dietary Fiber,14.8,0.3,14.3,15.2,,,,
2015-2016,All,2 and over,All,Dietary Fiber,16.5,0.4,15.8,17.2,,,,
2015-2016,Male,2 and over,All,Dietary Fiber,17.9,0.4,17.1,18.7,,,,
2015-2016,Female,2 and over,All,Dietary Fiber,15.2,0.4,14.4,15.9,,,,
2017-2018,All,2 and over,All,Dietary Fiber,16.2,0.3,15.6,16.9,,,,
2017-2018,Male,2 and over,All,Dietary Fiber,17.5,0.3,16.8,18.1,,,,
2017-2018,Female,2 and over,All,Dietary Fiber,15.0,0.4,14.3,15.7,,,,
1999-2000,All,2 and over,All,Iron,15.2,0.3,14.5,15.8,,,,
1999-2000,Male,2 and over,All,Iron,17.2,0.4,16.5,17.9,,,,
1999-2000,Female,2 and over,All,Iron,13.2,0.3,12.6,13.8,,,,
2001-2002,All,2 and over,All,Iron,15.5,0.3,15.0,16.0,,,,
2001-2002,Male,2 and over,All,Iron,17.8,0.4,17.1,18.6,,,,
2001-2002,Female,2 and over,All,Iron,13.3,0.2,13.0,13.6,,,,
2003-2004,All,2 and over,All,Iron,15.7,0.2,15.3,16.0,,,,
2003-2004,Male,2 and over,All,Iron,18.0,0.2,17.6,18.3,,,,
2003-2004,Female,2 and over,All,Iron,13.4,0.2,13.0,13.9,,,,
2005-2006,All,2 and over,All,Iron,15.9,0.2,15.5,16.3,,,,
2005-2006,Male,2 and over,All,Iron,18.3,0.2,17.9,18.8,,,,
2005-2006,Female,2 and over,All,Iron,13.6,0.2,13.3,13.9,,,,
2007-2008,All,2 and over,All,Iron,14.8,0.3,14.2,15.3,,,,
2007-2008,Male,2 and over,All,Iron,16.8,0.3,16.1,17.4,,,,
2007-2008,Female,2 and over,All,Iron,12.9,0.3,12.4,13.4,,,,
2009-2010,All,2 and over,All,Iron,14.9,0.1,14.7,15.1,,,,
2009-2010,Male,2 and over,All,Iron,16.9,0.2,16.5,17.2,,,,
2009-2010,Female,2 and over,All,Iron,13.1,0.1,12.8,13.3,,,,
2011-2012,All,2 and over,All,Iron,15.4,0.1,15.2,15.7,,,,
2011-2012,Male,2 and over,All,Iron,17.6,0.2,17.2,17.9,,,,
2011-2012,Female,2 and over,All,Iron,13.3,0.2,12.9,13.7,,,,
2013-2014,All,2 and over,All,Iron,14.4,0.1,14.1,14.7,,,,
2013-2014,Male,2 and over,All,Iron,16.3,0.2,16.0,16.7,,,,
2013-2014,Female,2 and over,All,Iron,12.5,0.1,12.2,12.8,,,,
2015-2016,All,2 and over,All,Iron,14.0,0.2,13.6,14.3,,,,
2015-2016,Male,2 and over,All,Iron,15.8,0.2,15.3,16.3,,,,
2015-2016,Female,2 and over,All,Iron,12.2,0.1,12.0,12.5,,,,
2017-2018,All,2 and over,All,Iron,14.0,0.2,13.7,14.3,,,,
2017-2018,Male,2 and over,All,Iron,15.7,0.2,15.3,16.1,,,,
2017-2018,Female,2 and over,All,Iron,12.3,0.2,11.9,12.7,,,,
1999-2000,All,2 and over,All,Potassium,"2,643.0",43.8,"2,556.4","2,729.6",,,,
1999-2000,Male,2 and over,All,Potassium,"2,972.8",43.0,"2,887.9","3,057.7",,,,
1999-2000,Female,2 and over,All,Potassium,"2,329.3",48.0,"2,234.4","2,424.1",,,,
2001-2002,All,2 and over,All,Potassium,"2,634.5",39.0,"2,557.5","2,711.6",,,,
2001-2002,Male,2 and over,All,Potassium,"2,996.5",60.1,"2,877.8","3,115.1",,,,
2001-2002,Female,2 and over,All,Potassium,"2,290.8",37.5,"2,216.8","2,364.8",,,,
2003-2004,All,2 and over,All,Potassium,"2,621.8",35.9,"2,550.8","2,692.8",,,,
2003-2004,Male,2 and over,All,Potassium,"2,953.4",42.9,"2,868.6","3,038.2",,,,
2003-2004,Female,2 and over,All,Potassium,"2,303.4",33.9,"2,236.4","2,370.3",,,,
2005-2006,All,2 and over,All,Potassium,"2,617.1",33.9,"2,550.1","2,684.1",,,,
2005-2006,Male,2 and over,All,Potassium,"2,978.2",39.1,"2,900.9","3,055.4",,,,
2005-2006,Female,2 and over,All,Potassium,"2,273.3",31.4,"2,211.2","2,335.4",,,,
2007-2008,All,2 and over,All,Potassium,"2,509.4",46.2,"2,418.1","2,600.8",,,,
2007-2008,Male,2 and over,All,Potassium,"2,840.5",48.7,"2,744.3","2,936.7",,,,
2007-2008,Female,2 and over,All,Potassium,"2,204.8",45.8,"2,114.4","2,295.2",,,,
2009-2010,All,2 and over,All,Potassium,"2,640.2",18.0,"2,604.6","2,675.8",,,,
2009-2010,Male,2 and over,All,Potassium,"2,977.9",33.1,"2,912.5","3,043.3",,,,
2009-2010,Female,2 and over,All,Potassium,"2,319.2",18.4,"2,282.9","2,355.5",,,,
2011-2012,All,2 and over,All,Potassium,"2,664.6",32.6,"2,600.1","2,729.0",,,,
2011-2012,Male,2 and over,All,Potassium,"3,021.4",47.8,"2,927.0","3,115.8",,,,
2011-2012,Female,2 and over,All,Potassium,"2,317.1",35.2,"2,247.6","2,386.5",,,,
2013-2014,All,2 and over,All,Potassium,"2,538.1",28.6,"2,481.5","2,594.7",,,,
2013-2014,Male,2 and over,All,Potassium,"2,866.3",31.7,"2,803.7","2,928.9",,,,
2013-2014,Female,2 and over,All,Potassium,"2,220.2",32.2,"2,156.5","2,283.8",,,,
